"barcode","vendor","title","price"
"2411990","BB&T Corporation","Healthcare Link for Payers","448903.50"
"74888","SunTrust Bank","Automated Clearing House (ACH)","3259168.89"
"1532128","PNC Financial Services Group","Automated Clearing House (ACH)","4221122.53"
"284956","JP Morgan Chase & Co.","Payments Fraud Prevention","4596479.53"
"2766899","JP Morgan Chase & Co.","Check Disbursements","3319140.85"
"2017331","Regions Financial","Healthcare Link for Payers","4652416.78"
"3454033","Fifth Third Bancorp","Self-Serve Inquiry and Resolution Management","1017704.52"
"2161617","Bank of New York Mellon","Commercial Cards","4759283.86"
"3066783","ING Group","Payments Fraud Prevention","1865101.79"
"57926","Wells Fargo","Debit Cards","3764074.69"
"3715224","State Street Corp.","Healthcare Link for Payers","1884289.73"
"1463778","Citigroup","Reference Accounts","4853351.12"
"4695734","State Street Corp.","Reference Accounts","3574766.59"
"3795661","Fifth Third Bancorp","Check Disbursements","963603.59"
"133109","Wells Fargo","Commercial Cards","4840768.53"
"2200005","Bank of America ","Self-Serve Inquiry and Resolution Management","1343423.51"
"3088201","State Street Corp.","Self-Serve Inquiry and Resolution Management","891838.97"
"290204","Fifth Third Bancorp","U.S. Dollar Clearing - Asia Direct","116244.56"
"4083326","Capital One Financial","Payments Fraud Prevention","1703216.14"
"4112430","Bank of New York Mellon","Check Disbursements","2713047.31"
"4423786","BB&T Corporation","Automated Clearing House (ACH)","834967.10"
"4478966","Toronto-Dominion Bank","Commercial Cards","611539.06"
"2226484","SunTrust Bank","Order-to-Pay","2717007.63"
"630739","U.S. Bancorp","Commercial Cards","292670.87"
"2061140","HSBC Holdings","U.S. Dollar Clearing - Asia Direct","4114320.34"
"3804893","HSBC Holdings","Cross-Currency Payment Services","2612995.50"
"3856794","Citigroup","Commercial Cards","4743325.80"
"2601145","Toronto-Dominion Bank","Reference Accounts","1178229.25"
"2400649","Northern Trust","Debit Cards","2306429.48"
"2648003","PNC Financial Services Group","Payments Fraud Prevention","4694140.14"
"2885086","Wells Fargo","Payments Fraud Prevention","4187696.50"
"1454093","Fifth Third Bancorp","Reference Accounts","193980.76"
"2238050","Fifth Third Bancorp","Order-to-Pay","519595.34"
"3123282","Royal Bank of Scotland","Payments Fraud Prevention","1074043.45"
"2241828","Royal Bank of Scotland","Commercial Cards","4002947.94"
"1672532","Fifth Third Bancorp","Order-to-Pay","2688817.53"
"4593882","U.S. Bancorp","Cross-Currency Payment Services","1626622.11"
"1102474","HSBC Holdings","Electronic Payables","1011068.65"
"1777534","KeyCorp","Healthcare Link for Payers","3492338.19"
"4098551","Bank of America ","Payments Fraud Prevention","846214.22"
"2497050","Bank of America ","Self-Serve Inquiry and Resolution Management","4810310.83"
"1682427","JP Morgan Chase & Co.","Self-Serve Inquiry and Resolution Management","4706958.56"
"1767086","Regions Financial","Electronic Payables","2112303.58"
"122428","Citigroup","Check Disbursements","1414551.60"
"2199061","Bank of New York Mellon","Automated Clearing House (ACH)","763203.63"
"4691467","Royal Bank of Scotland","Reference Accounts","3707248.73"
"120690","Northern Trust","Debit Cards","4167259.01"
"4718605","Fifth Third Bancorp","Electronic Payables","3474780.27"
"1391014","Bank of Montreal","Check Disbursements","1205211.12"
"103183","Wells Fargo","Automated Clearing House (ACH)","4217788.76"
"4328018","BB&T Corporation","U.S. Dollar Clearing - Asia Direct","4389218.95"
"1090067","PNC Financial Services Group","Reference Accounts","574736.08"
"354671","SunTrust Bank","Payments Fraud Prevention","2908677.39"
"4572248","Northern Trust","Healthcare Link for Payers","1409635.47"
"4844704","Royal Bank of Scotland","Healthcare Link for Payers","4436925.08"
"4373647","Bank of America ","Reference Accounts","3476.26"
"4555430","Bank of New York Mellon","Cross-Currency Payment Services","3144766.47"
"3108116","Bank of Montreal","U.S. Dollar Clearing - Asia Direct","3035397.12"
"2683781","Bank of America ","Automated Clearing House (ACH)","1347553.26"
"2475035","State Street Corp.","U.S. Dollar Clearing - Asia Direct","1609131.25"
"1631807","Toronto-Dominion Bank","Cross-Currency Payment Services","2851724.40"
"4844420","Northern Trust","Self-Serve Inquiry and Resolution Management","3097717.37"
"1546601","Wells Fargo","Self-Serve Inquiry and Resolution Management","4479311.28"
"807159","HSBC Holdings","Check Disbursements","2439069.18"
"1579738","JP Morgan Chase & Co.","Payments Fraud Prevention","3071036.15"
"3359767","Citigroup","Check Disbursements","2840350.82"
"720552","U.S. Bancorp","Automated Clearing House (ACH)","1611098.33"
"1603785","Royal Bank of Scotland","Commercial Cards","2490793.00"
"3839946","JP Morgan Chase & Co.","Payments Fraud Prevention","1299173.00"
"1644367","KeyCorp","Payments Fraud Prevention","4173294.84"
"1132529","BB&T Corporation","Order-to-Pay","4379565.43"
"11884","Bank of Montreal","Check Disbursements","2073182.08"
"1310769","Wells Fargo","Cross-Currency Payment Services","820712.64"
"1264196","Wells Fargo","Electronic Payables","1077284.35"
"3714757","Capital One Financial","Commercial Cards","593381.05"
"545991","Citigroup","U.S. Dollar Clearing - Asia Direct","720889.44"
"1734748","Fifth Third Bancorp","Check Disbursements","1787777.80"
"1804832","HSBC Holdings","U.S. Dollar Clearing - Asia Direct","4198398.71"
"3163590","ING Group","U.S. Dollar Clearing - Asia Direct","4179937.01"
"1821070","Wells Fargo","Cross-Currency Payment Services","2521884.13"
"4939980","Fifth Third Bancorp","Commercial Cards","4115482.93"
"4935536","JP Morgan Chase & Co.","Electronic Payables","255959.21"
"4598174","Northern Trust","U.S. Dollar Clearing - Asia Direct","4399913.24"
"2417672","Bank of New York Mellon","U.S. Dollar Clearing - Asia Direct","1085789.94"
"4370226","Bank of New York Mellon","Healthcare Link for Payers","2748883.39"
"4613230","Fifth Third Bancorp","Order-to-Pay","3426397.85"
"456050","Fifth Third Bancorp","Automated Clearing House (ACH)","1693464.35"
"3289374","Citigroup","Electronic Payables","3987060.38"
"4610771","KeyCorp","Automated Clearing House (ACH)","3155458.13"
"4308385","JP Morgan Chase & Co.","Payments Fraud Prevention","2568761.92"
"3230354","Capital One Financial","Electronic Payables","1470183.69"
"3152577","SunTrust Bank","Payments Fraud Prevention","4016871.52"
"3911802","Bank of America ","Cross-Currency Payment Services","1256422.64"
"2629115","ING Group","Order-to-Pay","1229100.90"
"3517266","HSBC Holdings","Order-to-Pay","253064.00"
"4815640","Bank of New York Mellon","Electronic Payables","1474257.77"
"4851792","SunTrust Bank","Reference Accounts","4231920.75"
"1629972","SunTrust Bank","Payments Fraud Prevention","1119543.51"
"4014524","JP Morgan Chase & Co.","Healthcare Link for Payers","4601427.50"
"1658042","PNC Financial Services Group","Cross-Currency Payment Services","4107540.43"
"1466512","Northern Trust","Electronic Payables","191322.88"
"3913727","Citigroup","Healthcare Link for Payers","899824.08"
"816355","State Street Corp.","Payments Fraud Prevention","986741.24"
"2233889","Wells Fargo","Reference Accounts","3941202.70"
"571581","BB&T Corporation","Reference Accounts","1896568.91"
"4310629","Bank of Montreal","Self-Serve Inquiry and Resolution Management","4016038.07"
"3672256","HSBC Holdings","Order-to-Pay","1580363.18"
"2690562","Fifth Third Bancorp","Healthcare Link for Payers","4572067.91"
"4157988","Bank of Montreal","Self-Serve Inquiry and Resolution Management","1410961.40"
"3861773","Regions Financial","Cross-Currency Payment Services","3896087.35"
"2373118","Wells Fargo","Debit Cards","902810.45"
"192","Bank of America ","Order-to-Pay","859115.22"
"365981","Toronto-Dominion Bank","Check Disbursements","2827114.32"
"1653594","Capital One Financial","Check Disbursements","676392.53"
"3394630","HSBC Holdings","Check Disbursements","3717224.79"
"1771464","Bank of New York Mellon","Commercial Cards","1503747.45"
"3633055","Citigroup","U.S. Dollar Clearing - Asia Direct","3784394.65"
"4775959","Wells Fargo","Commercial Cards","1877881.16"
"2054078","Northern Trust","Electronic Payables","4959937.16"
"739974","Bank of New York Mellon","Cross-Currency Payment Services","2191316.38"
"4911969","BB&T Corporation","Automated Clearing House (ACH)","1184706.03"
"103851","Fifth Third Bancorp","Automated Clearing House (ACH)","1084383.64"
"1473318","SunTrust Bank","Healthcare Link for Payers","2267389.66"
"2780119","Bank of America ","Self-Serve Inquiry and Resolution Management","2299224.32"
"4778074","Northern Trust","Electronic Payables","74370.25"
"2364073","Royal Bank of Scotland","Self-Serve Inquiry and Resolution Management","2491953.37"
"4863146","Regions Financial","U.S. Dollar Clearing - Asia Direct","2039612.67"
"557528","Royal Bank of Scotland","Debit Cards","1350282.77"
"4257519","Bank of Montreal","Debit Cards","624001.55"
"3923483","JP Morgan Chase & Co.","Reference Accounts","1529831.04"
"2965952","State Street Corp.","U.S. Dollar Clearing - Asia Direct","4149735.79"
"3685978","Royal Bank of Scotland","Debit Cards","2248405.58"
"1216235","Royal Bank of Scotland","U.S. Dollar Clearing - Asia Direct","3207215.78"
"3201683","Northern Trust","Commercial Cards","1356066.43"
"3496663","Royal Bank of Scotland","U.S. Dollar Clearing - Asia Direct","3112467.60"
"3697472","Bank of America ","Healthcare Link for Payers","4114165.04"
"1307202","Regions Financial","Order-to-Pay","1755585.78"
"2552871","Northern Trust","Payments Fraud Prevention","66297.80"
"2620597","Royal Bank of Scotland","Electronic Payables","2513473.39"
"3863837","Northern Trust","Electronic Payables","467701.27"
"2643644","Northern Trust","Check Disbursements","1808482.38"
"1435517","SunTrust Bank","U.S. Dollar Clearing - Asia Direct","4932285.04"
"677577","Citigroup","Commercial Cards","4936209.75"
"164789","KeyCorp","Order-to-Pay","1673705.02"
"4295854","BB&T Corporation","U.S. Dollar Clearing - Asia Direct","545674.41"
"2238148","SunTrust Bank","Check Disbursements","2809722.84"
"1981521","HSBC Holdings","Commercial Cards","3692243.22"
"644889","U.S. Bancorp","Reference Accounts","153947.95"
"4427610","State Street Corp.","Debit Cards","2179332.83"
"1338285","ING Group","Debit Cards","1808835.39"
"3478697","HSBC Holdings","Payments Fraud Prevention","2435288.58"
"4049857","KeyCorp","Healthcare Link for Payers","2856716.73"
"877543","BB&T Corporation","Automated Clearing House (ACH)","525381.74"
"2494594","Regions Financial","Reference Accounts","1237283.84"
"3595312","Toronto-Dominion Bank","Payments Fraud Prevention","1877546.62"
"902018","U.S. Bancorp","Payments Fraud Prevention","387427.46"
"1971407","Bank of Montreal","Electronic Payables","3313550.55"
"2114187","HSBC Holdings","Reference Accounts","3991405.61"
"4401286","SunTrust Bank","Order-to-Pay","2236559.24"
"4267116","Citigroup","Commercial Cards","4506789.66"
"2481095","Capital One Financial","Electronic Payables","3738931.35"
"4778309","HSBC Holdings","Electronic Payables","1821843.73"
"1530363","State Street Corp.","Check Disbursements","4263484.89"
"567295","Bank of Montreal","Automated Clearing House (ACH)","2619456.12"
"779689","KeyCorp","U.S. Dollar Clearing - Asia Direct","1236253.39"
"3844217","KeyCorp","Debit Cards","1889655.11"
"508185","Capital One Financial","Commercial Cards","1481383.11"
"3868193","Bank of America ","Payments Fraud Prevention","474081.08"
"665247","BB&T Corporation","Commercial Cards","247771.44"
"4286924","PNC Financial Services Group","Self-Serve Inquiry and Resolution Management","2308524.37"
"3790937","Bank of America ","Commercial Cards","2835460.22"
"4599197","Royal Bank of Scotland","U.S. Dollar Clearing - Asia Direct","4621556.43"
"3495952","ING Group","Healthcare Link for Payers","1536604.49"
"4992457","JP Morgan Chase & Co.","Check Disbursements","466160.28"
"3243687","ING Group","Healthcare Link for Payers","3725994.49"
"178036","Capital One Financial","Commercial Cards","2988530.47"
"4931406","BB&T Corporation","Electronic Payables","4708626.12"
"2277760","HSBC Holdings","Self-Serve Inquiry and Resolution Management","4177724.04"
"4977195","JP Morgan Chase & Co.","Automated Clearing House (ACH)","3928562.63"
"300794","Northern Trust","Automated Clearing House (ACH)","794788.55"
"4631961","BB&T Corporation","Payments Fraud Prevention","2818934.96"
"1748737","Wells Fargo","Healthcare Link for Payers","3915826.81"
"407074","JP Morgan Chase & Co.","Cross-Currency Payment Services","1459355.16"
"343939","SunTrust Bank","Cross-Currency Payment Services","226954.44"
"4228612","State Street Corp.","Cross-Currency Payment Services","3657202.45"
"3853423","JP Morgan Chase & Co.","U.S. Dollar Clearing - Asia Direct","1983753.05"
"3618290","JP Morgan Chase & Co.","Electronic Payables","916605.76"
"1047040","Capital One Financial","Cross-Currency Payment Services","4434997.01"
"1284821","Toronto-Dominion Bank","Healthcare Link for Payers","99197.69"
"1048927","Capital One Financial","Order-to-Pay","3096400.65"
"2974362","BB&T Corporation","Self-Serve Inquiry and Resolution Management","8324.90"
"3651013","Bank of America ","Self-Serve Inquiry and Resolution Management","3125420.01"
"4048031","Bank of Montreal","Check Disbursements","474345.42"
"3427602","ING Group","Order-to-Pay","4839694.30"
"335689","Bank of New York Mellon","Debit Cards","1521284.62"
"339095","Bank of New York Mellon","Payments Fraud Prevention","3226930.97"
"63888","PNC Financial Services Group","Electronic Payables","2216676.38"
"4309657","BB&T Corporation","Automated Clearing House (ACH)","4302666.10"
"2261804","BB&T Corporation","U.S. Dollar Clearing - Asia Direct","1817915.51"
"1873108","Northern Trust","Payments Fraud Prevention","2487686.40"
"3851197","KeyCorp","Electronic Payables","2814216.78"
"3952231","BB&T Corporation","Payments Fraud Prevention","4621267.23"
"4533199","Royal Bank of Scotland","Electronic Payables","4900894.25"
"109384","HSBC Holdings","Cross-Currency Payment Services","2605200.45"
"2506378","Royal Bank of Scotland","Self-Serve Inquiry and Resolution Management","3512316.15"
"3647699","SunTrust Bank","Automated Clearing House (ACH)","4943183.61"
"1867378","Bank of New York Mellon","Automated Clearing House (ACH)","4895190.83"
"4744572","KeyCorp","Check Disbursements","2693991.92"
"4416926","Northern Trust","Order-to-Pay","3643268.80"
"1127740","KeyCorp","Commercial Cards","3948005.63"
"4021698","Wells Fargo","Reference Accounts","3412186.92"
"4342713","Bank of New York Mellon","Automated Clearing House (ACH)","3355320.53"
"3796022","JP Morgan Chase & Co.","Cross-Currency Payment Services","3657328.48"
"4937954","BB&T Corporation","Check Disbursements","2240293.25"
"4547237","Regions Financial","U.S. Dollar Clearing - Asia Direct","2806825.93"
"2116945","ING Group","Self-Serve Inquiry and Resolution Management","1385302.66"
"40757","JP Morgan Chase & Co.","Cross-Currency Payment Services","570008.00"
"2079845","Northern Trust","Automated Clearing House (ACH)","126839.24"
"601198","Capital One Financial","Cross-Currency Payment Services","233597.64"
"4966941","Bank of America ","U.S. Dollar Clearing - Asia Direct","1718516.08"
"2803518","Bank of New York Mellon","Check Disbursements","615316.01"
"4580266","Toronto-Dominion Bank","Automated Clearing House (ACH)","1615290.81"
"4019798","SunTrust Bank","Automated Clearing House (ACH)","1202241.58"
"1731794","Royal Bank of Scotland","Self-Serve Inquiry and Resolution Management","1635566.74"
"2954837","Fifth Third Bancorp","Check Disbursements","1517295.70"
"2751350","Wells Fargo","Check Disbursements","2088812.61"
"962971","KeyCorp","Healthcare Link for Payers","4057539.85"
"2405510","Wells Fargo","Cross-Currency Payment Services","4653332.50"
"2665564","Royal Bank of Scotland","Self-Serve Inquiry and Resolution Management","2864045.44"
"4712435","Bank of New York Mellon","Order-to-Pay","1488536.95"
"4259991","Regions Financial","Automated Clearing House (ACH)","4408746.85"
"3909841","Bank of Montreal","Commercial Cards","3508445.86"
"1787643","Bank of America ","Automated Clearing House (ACH)","275282.91"
"2558885","PNC Financial Services Group","Commercial Cards","3254144.69"
"3960422","U.S. Bancorp","Commercial Cards","1002700.74"
"2769095","PNC Financial Services Group","Healthcare Link for Payers","4165070.41"
"4051639","PNC Financial Services Group","Reference Accounts","190808.36"
"4072458","SunTrust Bank","Self-Serve Inquiry and Resolution Management","613134.43"
"4251811","JP Morgan Chase & Co.","Automated Clearing House (ACH)","996618.49"
"4114165","State Street Corp.","Self-Serve Inquiry and Resolution Management","4615689.72"
"247387","Royal Bank of Scotland","Debit Cards","2885822.44"
"1120211","Wells Fargo","Payments Fraud Prevention","3134532.71"
"4015192","ING Group","Electronic Payables","1567591.99"
"1089452","Fifth Third Bancorp","Commercial Cards","3444386.40"
"3954763","State Street Corp.","Reference Accounts","1101357.65"
"989428","Bank of New York Mellon","Debit Cards","1418951.98"
"4651922","Royal Bank of Scotland","U.S. Dollar Clearing - Asia Direct","1741638.38"
"4163327","PNC Financial Services Group","Order-to-Pay","2749394.55"
"4292100","Royal Bank of Scotland","Commercial Cards","1821988.93"
"3540516","U.S. Bancorp","Automated Clearing House (ACH)","1073104.57"
"1912042","Bank of America ","U.S. Dollar Clearing - Asia Direct","4495104.74"
"3325457","BB&T Corporation","Reference Accounts","43435.60"
"3818935","PNC Financial Services Group","Cross-Currency Payment Services","4682923.18"
"1323193","Wells Fargo","Debit Cards","3566737.96"
"1168540","SunTrust Bank","Healthcare Link for Payers","1186819.90"
"2163080","State Street Corp.","Reference Accounts","759106.96"
"1901646","SunTrust Bank","Cross-Currency Payment Services","2513231.64"
"2191865","Bank of Montreal","Commercial Cards","2937416.72"
"2126071","U.S. Bancorp","Commercial Cards","4982155.70"
"3465474","Citigroup","Self-Serve Inquiry and Resolution Management","4056333.77"
"4175370","Fifth Third Bancorp","Automated Clearing House (ACH)","518388.61"
"4861561","Regions Financial","Debit Cards","4223798.04"
"4460063","Royal Bank of Scotland","U.S. Dollar Clearing - Asia Direct","1161755.49"
"2036986","State Street Corp.","Automated Clearing House (ACH)","14656.36"
"4338117","Bank of America ","Payments Fraud Prevention","3275186.24"
"4860050","Wells Fargo","Order-to-Pay","2688461.84"
"2421232","U.S. Bancorp","Automated Clearing House (ACH)","3442798.82"
"2305259","BB&T Corporation","Order-to-Pay","562751.38"
"1725254","Bank of New York Mellon","U.S. Dollar Clearing - Asia Direct","1795243.57"
"2256846","Toronto-Dominion Bank","Healthcare Link for Payers","2689793.79"
"1728598","Regions Financial","Commercial Cards","3061572.58"
"1452598","HSBC Holdings","Commercial Cards","1740363.33"
"2603035","BB&T Corporation","Commercial Cards","1945029.32"
"4011122","Capital One Financial","Check Disbursements","1249376.26"
"2425220","BB&T Corporation","Order-to-Pay","1176407.57"
"4448603","KeyCorp","Debit Cards","2327315.90"
"1058033","Bank of New York Mellon","Self-Serve Inquiry and Resolution Management","1503355.25"
"4697283","Regions Financial","Order-to-Pay","2070760.05"
"4373292","Toronto-Dominion Bank","Reference Accounts","3641194.04"
"956732","PNC Financial Services Group","Self-Serve Inquiry and Resolution Management","4078651.96"
"1712151","State Street Corp.","Payments Fraud Prevention","2861055.65"
"363487","Capital One Financial","Reference Accounts","3272945.04"
"1653578","HSBC Holdings","Commercial Cards","162254.38"
"467560","JP Morgan Chase & Co.","Self-Serve Inquiry and Resolution Management","863422.32"
"3315378","ING Group","Cross-Currency Payment Services","4486050.91"
"1200562","Fifth Third Bancorp","Reference Accounts","3737161.23"
"4315857","Citigroup","U.S. Dollar Clearing - Asia Direct","2249641.23"
"874146","Wells Fargo","Debit Cards","2491449.83"
"551884","Bank of Montreal","Healthcare Link for Payers","1488832.90"
"3548667","U.S. Bancorp","Healthcare Link for Payers","4407301.98"
"4150686","Fifth Third Bancorp","Order-to-Pay","2490810.08"
"4664308","SunTrust Bank","Check Disbursements","1142791.02"
"1419741","PNC Financial Services Group","Commercial Cards","1131540.06"
"3216105","JP Morgan Chase & Co.","Automated Clearing House (ACH)","1680726.26"
"3285852","ING Group","Automated Clearing House (ACH)","4130642.70"
"1859115","Wells Fargo","Electronic Payables","1292355.52"
"2491728","BB&T Corporation","Cross-Currency Payment Services","4804838.71"
"2484731","Citigroup","Payments Fraud Prevention","2278704.55"
"4070364","Regions Financial","Cross-Currency Payment Services","2810393.99"
"4385328","Bank of New York Mellon","Payments Fraud Prevention","2135417.25"
"1065504","Northern Trust","Commercial Cards","3075647.78"
"1012199","Northern Trust","Self-Serve Inquiry and Resolution Management","1894199.87"
"4931864","Regions Financial","Commercial Cards","3948766.61"
"762399","PNC Financial Services Group","Reference Accounts","4876499.12"
"2296737","BB&T Corporation","Check Disbursements","1026445.50"
"4181566","Bank of Montreal","Payments Fraud Prevention","2203248.81"
"1017726","SunTrust Bank","Commercial Cards","1642137.45"
"192859","SunTrust Bank","Debit Cards","3411720.00"
"1799754","HSBC Holdings","Cross-Currency Payment Services","864096.43"
"862354","Fifth Third Bancorp","Check Disbursements","3034982.36"
"2659200","Regions Financial","Cross-Currency Payment Services","4982587.19"
"4298121","Bank of Montreal","U.S. Dollar Clearing - Asia Direct","3846025.62"
"359811","JP Morgan Chase & Co.","Healthcare Link for Payers","1682369.24"
"2610277","State Street Corp.","U.S. Dollar Clearing - Asia Direct","1411872.53"
"2851789","KeyCorp","Healthcare Link for Payers","3913658.52"
"720576","ING Group","Payments Fraud Prevention","258872.49"
"253159","Toronto-Dominion Bank","Electronic Payables","760545.27"
"1344318","Wells Fargo","U.S. Dollar Clearing - Asia Direct","4643863.56"
"498893","Regions Financial","Self-Serve Inquiry and Resolution Management","3111594.56"
